"BUL_ID","FROMDATE","TODATE","CONSUMPTION"
"23003438224","1398/01/05","1398/04/03","130"
"23003438224","1396/11/25","1398/01/05","2733"
"23004042859","1399/04/18","1399/06/02","78"
"23004042859","1399/03/01","1399/04/18","97"
"23004042859","1399/01/24","1399/03/01","240"
"23004042859","1399/01/18","1399/01/24","95"
"23004042859","1399/01/16","1399/01/18","0"
"23004042859","1398/11/20","1399/01/16","617"
"23004042859","1398/10/02","1398/11/20","621"
"23004042859","1398/08/21","1398/10/02","434"
"23004042859","1398/07/03","1398/08/21","302"
"23004042859","1398/05/19","1398/07/03","126"
"23004042859","1398/04/03","1398/05/19","80"
"23004042859","1398/02/21","1398/04/03","121"
"23004042859","1398/01/05","1398/02/21","314"
"23004042859","1397/11/16","1398/01/05","414"
"23004042859","1397/10/05","1397/11/16","428"
"23004042859","1397/08/26","1397/10/05","329"
"23004042859","1397/07/08","1397/08/26","292"
"23004042859","1397/05/25","1397/07/08","90"
"23004042859","1397/04/02","1397/05/25","80"
"23004042859","1397/02/18","1397/04/02","96"
"23004042859","1396/12/28","1397/02/18","299"
"23005665095","1399/04/24","1399/06/02","77"
"23005665095","1399/03/01","1399/04/24","86"
"23005665095","1399/01/31","1399/03/01","289"
"23005665095","1398/11/20","1399/01/31","575"
"23005665095","1398/10/03","1398/11/20","497"
"23005665095","1398/08/22","1398/10/03","367"
"23005665095","1398/07/04","1398/08/22","161"
"23005665095","1398/07/02","1398/07/04","0"
"23005665095","1398/05/20","1398/07/02","1"
"23005665095","1398/04/03","1398/05/20","4"
"23005665095","1398/04/02","1398/04/03","0"
"23005665095","1398/02/21","1398/04/02","64"
"23005665095","1398/01/06","1398/02/21","328"
"23005665095","1397/11/16","1398/01/06","442"
"23005665095","1397/10/05","1397/11/16","452"
"23005665095","1397/08/26","1397/10/05","333"
"23005665095","1397/07/08","1397/08/26","254"
"23005665095","1397/05/25","1397/07/08","52"
"23005665095","1397/04/06","1397/05/25","44"
"23005665095","1397/04/02","1397/04/06","10"
"23005665095","1397/02/19","1397/04/02","104"
"23005665095","1397/01/14","1397/02/19","216"
"23005665095","1396/11/19","1397/01/14","325"
"23005842208","1399/04/25","1399/06/10","121"
"23005842208","1399/01/31","1399/04/25","476"
"23005842208","1398/11/21","1399/01/31","687"
"23005842208","1398/10/07","1398/11/21","591"
"23005842208","1398/08/23","1398/10/07","482"
"23005842208","1398/07/06","1398/08/23","334"
"23005842208","1398/05/23","1398/07/06","160"
"23005842208","1398/04/04","1398/05/23","146"
"23005842208","1398/02/23","1398/04/04","71"
"23005842208","1398/01/07","1398/02/23","367"
"23005842208","1397/11/18","1398/01/07","541"
"23005842208","1397/10/06","1397/11/18","563"
"23005842208","1397/08/27","1397/10/06","393"
"23005842208","1397/07/09","1397/08/27","387"
"23005842208","1397/05/27","1397/07/09","98"
"23005842208","1397/04/04","1397/05/27","115"
"23005842208","1397/02/20","1397/04/04","71"
"23005842208","1396/12/28","1397/02/20","363"
"23011674138","1399/04/24","1399/06/02","71"
"23011674138","1399/03/01","1399/04/24","79"
"23011674138","1399/01/31","1399/03/01","168"
"23011674138","1398/11/20","1399/01/31","543"
"23011674138","1398/10/03","1398/11/20","584"
"23011674138","1398/08/22","1398/10/03","444"
"23011674138","1398/05/20","1398/08/22","209"
"23011674138","1398/04/03","1398/05/20","69"
"23011674138","1398/02/21","1398/04/03","67"
"23011674138","1398/01/06","1398/02/21","218"
"23011674138","1397/11/16","1398/01/06","453"
"23011674138","1397/10/05","1397/11/16","464"
"23011674138","1397/08/26","1397/10/05","375"
"23011674138","1397/07/08","1397/08/26","202"
"23011674138","1397/05/25","1397/07/08","65"
"23011674138","1397/04/02","1397/05/25","93"
"23011674138","1397/02/19","1397/04/02","66"
"23011674138","1397/01/14","1397/02/19","153"
"23011674138","1396/11/19","1397/01/14","290"
"23006747920","1399/04/24","1399/06/02","58"
"23006747920","1399/03/01","1399/04/24","98"
"23006747920","1399/01/20","1399/03/01","264"
"23006747920","1398/11/21","1399/01/20","562"
"23006747920","1398/08/24","1398/11/21","897"
"23006747920","1398/07/04","1398/08/24","205"
"23006747920","1398/05/20","1398/07/04","94"
"23006747920","1398/04/03","1398/05/20","87"
"23006747920","1398/02/21","1398/04/03","96"
"23006747920","1398/01/06","1398/02/21","316"
"23006747920","1397/11/16","1398/01/06","462"
"23006747920","1397/10/05","1397/11/16","440"
"23006747920","1397/08/26","1397/10/05","308"
"23006747920","1397/07/08","1397/08/26","227"
"23006747920","1397/05/25","1397/07/08","67"
